Objet;ID;Forme active;Forme inactive;Taille active;Taille inactive;Materiaux actif;Materiaux inactif;Sous Materiaux actif;Sous Materiaux inactif;Outils actif;Outils inactif;Technique active;Technique inactive;Association_justification;Modification
;1;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;1,2,3,4,5,6,7,8,9;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;1,2,3,4;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;false
;2;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;1,2,3,4,5,6,7,8,9;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;1,2,3,4;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36;false
;3;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;1,2,3,4,5,6,7,8,9;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18;;1,2,3,4;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21;;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36;false
Association_justification;ID;Materieaux;Justification Active;Justification Inactive;;;;;;;;;;;
;1;1;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;2;2;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;3;3;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;4;4;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;5;5;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;6;6;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;7;7;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;8;8;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;9;9;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;10;10;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;11;11;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;12;12;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;13;13;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;14;14;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;15;15;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;16;16;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;17;17;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;18;18;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;19;1;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;20;2;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;21;3;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;22;4;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;23;5;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;24;6;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;25;7;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;26;8;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;27;9;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;28;10;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;29;11;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;30;12;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;31;13;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;32;14;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;33;15;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;34;16;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;35;17;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
;36;18;;1,2,3,4,5,6,7,8,9;;;;;;;;;;;
Question;ID;Nom;Description;Reponse a la question;Modification;;;;;;;;;;
;1;A_quoi;A quoi sert-il ?;;false;;;;;;;;;;
;2;Pour_qui;Pour qui est-il ?;;false;;;;;;;;;;
;3;Comment;Comment l'utilisé ?;;false;;;;;;;;;;
;4;Quand;Quand est-il utilisé ?;;false;;;;;;;;;;
;5;Ou;Où est-il utilisé ?;;false;;;;;;;;;;